Name,Location,Rating
Union Tavern,52 Lloyd Baker Street,4.3
Camino,3 Varnishers Yard,3.6
The Goat Tavern,3 Stafford Street,3.8
Neal's Yard Dairy,17 Shorts Gardens,4.7
Sergio's Restaurant,84a Great Titchfield Street,4.1
Savysec Security Services,20 East Road,0.0
Pinkcreamblue,Dalmeny Avenue,0.0
Global Buisness Link,119 Globe Road,0.0
The Victoria,1 Lower Belgrave Street,3.1
The Grazing Goat Marylebone,6 New Quebec Street,4.2
Simarc Electricals,,0.0
Mau Mau Bar,265 Portobello Road,3.5
D.Cass & Son,20 Farrer Road,0.0
